Series Name,Series Code,Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Sweden,SWE,7.374000072,7.254000187,6.46999979,6.56099987,8.008000374,8.520000458,7.757999897,7.717000008,7.887000084,7.688000202,7.289000034,6.586999893,6.441999912,6.235000134,6.954999924,8.284999847
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Australia,AUS,5.217999935,4.918000221,4.788000107,4.565000057,5.401000023,5.380000114,5.304999828,5.323999882,5.605999947,6.171999931,6.065999985,5.78000021,5.670000076,5.321000099,5.100999832,6.354000092
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Denmark,DNK,5.27699995,4.537000179,4.197999954,4.068999767,5.668000221,6.763999939,7.622000217,7.795000076,7.669000149,7.146999836,6.53000021,6.381000042,6.046000004,5.347000122,5.269000053,5.984000206
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Belgium,BEL,9.508999825,9.31499958,8.447999954,7.604000092,8.112999916,8.513999939,7.177999973,7.40899992,8.175000191,7.938000202,7.769000053,7.559999943,7.058000088,5.565000057,4.93900013,5.353000164
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Canada,CAN,7.017000198,6.521999836,6.383999825,6.572000027,9.532999992,8.793999672,7.959000111,7.71600008,7.497000217,7.377999783,7.461999893,7.681000233,6.781000137,6.138999939,6.03000021,9.526000023
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,United States,USA,5.065999985,4.614999771,4.724999905,6.092999935,10.27600002,10.50800037,9.37100029,8.227000237,7.627999783,6.262000084,5.367000103,4.93900013,4.40199995,3.950999975,3.720999956,7.796000004
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,United Kingdom,GBR,5.139999866,5.690000057,5.515999794,6.065000057,8.494000435,8.569999695,8.640999794,8.31000042,7.941999912,6.361000061,5.453999996,4.921999931,4.427999973,4.052000046,3.924000025,4.758999825
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,France,FRA,7.806000233,7.861999989,7.272999763,6.718999863,8.682999611,8.68900013,8.529000282,9.437999725,10.03999996,10.53499985,10.76299953,10.2329998,9.444000244,8.980999947,8.468000412,8.062999725
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Germany,DEU,11.39599991,10.31400013,8.545999527,7.414999962,8.102000237,7.368999958,6.02699995,5.551000118,5.499000072,5.282000065,4.968999863,4.451000214,4.129000187,3.789999962,3.493999958,4.196000099
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Sweden,SWE,7.59499979,6.903999805,5.880000114,5.93200016,8.657999992,8.68999958,7.837999821,8.217000008,8.19699955,8.187999725,7.559000015,7.356999874,6.97300005,6.473999977,6.71600008,8.295000076
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Australia,AUS,4.877999783,4.668000221,4.046999931,3.95600009,5.690999985,5.070000172,4.894000053,5.133999825,5.705999851,6.001999855,6.035999775,5.650000095,5.519999981,5.281000137,5.210999966,6.553999901
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Denmark,DNK,4.436999798,3.335000038,3.447999954,3.338999987,7.06799984,8.625,7.90199995,7.804999828,7.118999958,6.736999989,6.059999943,5.640999794,5.637000084,4.936999798,4.798999786,5.333000183
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,Belgium,BEL,7.598999977,7.403999805,6.665999889,6.47300005,7.743000031,8.104999542,7.107999802,7.649000168,8.645000458,9.017999649,9.088999748,8.06000042,7.118000031,6.285999775,5.728000164,5.722000122
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Canada,CAN,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,United States,USA,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.369999886,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,United Kingdom,GBR,4.75,5.349999905,5.260000229,5.619999886,7.539999962,7.789999962,8.039999962,7.880000114,7.519999981,6.110000134,5.300000191,4.809999943,4.329999924,4,3.74000001,4.472000122
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,France,FRA,8.489999771,8.449999809,7.659999847,7.059999943,8.739999771,8.869999886,8.81000042,9.399999619,9.920000076,10.28999996,10.35000038,10.05000019,9.409999847,9.020000458,8.409999847,8.010000229
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Germany,DEU,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.809999943
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Sweden,SWE,7.489999771,7.070000172,6.159999847,6.230000019,8.350000381,8.609999657,7.800000191,7.980000019,8.050000191,7.949999809,7.429999828,6.989999771,6.71999979,6.360000134,6.829999924,8.289999962
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Australia,AUS,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Denmark,DNK,4.829999924,3.900000095,3.799999952,3.680000067,6.409999847,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belgium,BEL,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Canada,CAN,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Australia,AUS,..,..,..,98.3,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Canada,CAN,44.495093,44.23699432,44.03477573,43.93390259,43.97675318,44.17994479,44.64763374,45.13918539,45.70697547,46.38054112,47.15645579,47.82631443,48.61607607,49.48187729,50.36191603,51.23928687
Age dependency ratio (% of working-age population),SP.POP.DPND,United States,USA,49.68456775,49.69711035,49.6149867,49.52142753,49.52581393,49.67051522,49.86975262,50.11544312,50.42591564,50.79303992,51.20955055,51.64616731,52.15580602,52.71067711,53.27766617,53.85248134
Age dependency ratio (% of working-age population),SP.POP.DPND,United Kingdom,GBR,51.54579141,51.37202339,51.26708849,51.26660924,51.39551483,51.66504494,52.34374887,53.04245691,53.7606423,54.46384637,55.11102766,55.63735853,56.06989604,56.43074619,56.75061197,57.06137406
Age dependency ratio (% of working-age population),SP.POP.DPND,France,FRA,53.76490814,53.83190686,53.86296928,53.93670628,54.16892127,54.63090246,55.33524677,56.25937416,57.32435006,58.38099164,59.32072593,60.07595511,60.71698565,61.26714454,61.79535465,62.35640565
Age dependency ratio (% of working-age population),SP.POP.DPND,Germany,DEU,49.8912304,50.36474056,50.80302623,51.20103956,51.53198126,51.7937458,52.00975112,52.09539734,52.13209521,52.24468346,52.52163128,52.91457287,53.42641775,54.04283612,54.70890859,55.38336207
Age dependency ratio (% of working-age population),SP.POP.DPND,Sweden,SWE,53.16559748,53.23297694,53.06149185,52.83327042,52.83128183,53.20150579,53.88128203,54.89381996,56.15612196,57.41853124,58.48568901,59.30803456,59.965652,60.45520697,60.83390771,61.16654504
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,48.55723254,48.18525523,47.89079729,47.74597554,47.77266022,47.94845437,48.51375386,49.06719336,49.64057799,50.25970006,50.92505621,51.72993235,52.5996706,53.48508824,54.31300548,55.05194054
Age dependency ratio (% of working-age population),SP.POP.DPND,Denmark,DNK,51.24166514,51.56839094,51.89149682,52.22582631,52.57754372,52.94594921,53.47484263,53.98379577,54.58655381,55.28684787,55.98335953,56.29815239,56.61999565,56.91495672,57.14921632,57.34583486
Age dependency ratio (% of working-age population),SP.POP.DPND,Belgium,BEL,52.53465089,52.46878121,52.2773676,52.05597662,51.94256225,52.01442797,52.32871192,52.74426339,53.23690338,53.73738812,54.19360574,54.77135163,55.3290794,55.87046567,56.40829917,56.95681092
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Canada,CAN,98.8,98.8,98.8,98.7,98.6,98.5,98.4,98.1,98,97.9,97.9,97.8,97.9,98,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United States,USA,99.4,99.4,99.3,99.3,99.3,99.4,99.3,99.3,99.2,98.5,99.1,99.1,99.1,99.1,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,France,FRA,97.9,98.3,98.1,98,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,98,98.1,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,98.2,98.4,98.4,98.5,98.3,98.4,98.4,98.5,98.5,98.6,98.8,97.8,98.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,99.4,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99.3,99.7,99.7,97,96.7,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Denmark,DNK,98.8,98.7,97.8,..,98.7,98.5,98.5,98.2,96.3,95.9,95.4,94.4,94.7,95.3,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,France,FRA,..,..,0.028,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Australia,AUS,..,0.049,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
