HealthKey,Country Name,Year,"Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Stillbirth rate (per 1,000 total births)",Diabetes prevalence (% of population ages 20 to 79),Prevalence of current tobacco use (% of adults),"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Physicians (per 1,000 people)","Prevalence of HIV, total (% of population ages 15-49)",Domestic general government health expenditure (% of GDP),"Immunization, Pol3 (% of one-year-old children)","Nurses and midwives (per 1,000 people)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Immunization, HepB3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)"
49,Germany,2010,97,8.25,96,2.285733948,..,30.3,53.275,101.933,3.7567,0.1,8.39900112,94,13.6093,12.64,88,3.5
50,Sweden,2010,97,2.73,98,2.883975105,..,37.6,43.121,71.863,3.8027,..,6.86272383,98,11.5708,9.49,..,2.5
51,Australia,2010,94,3.78,92,2.860569119,..,20.4,45.704,78.634,3.3429,0.1,6.10032845,92,10.4017,12.39,92,4
52,Denmark,2010,85,3.5,90,2.138723702,..,25.3,63.005,104.849,3.7211,0.1,8.66742611,90,10.0978,11,..,3.5
53,Belgium,2010,95,6.12,98,3.083610669,..,27,59.259,102.029,2.9085,..,7.78026438,98,10.0931,11.4,97,3.6
54,Canada,2011,88,2.8,87,2.915602009,8.4,..,52.681,82.896,..,..,7.30276871,87,9.2368,..,70,4.9
55,United States,2011,92,2.97,96,2.965430265,9.4,..,77.926,132.138,..,0.5,7.92789316,94,..,..,91,6.1
56,United Kingdom,2011,90,2.88,95,3.661666151,5.2,..,55.743,87.285,5.3144,..,8.06530571,95,10.1724,..,..,4.3
57,France,2011,89,6.36,99,4.414669728,5.4,..,52.553,112.591,6.3244,..,7.85247898,99,9.286,..,74,3.1
58,Germany,2011,97,8.38,95,2.28624728,5.3,..,52.91,98.648,3.8491,0.1,8.12801647,94,13.79,..,87,3.4
59,Sweden,2011,97,2.7,98,2.896740189,4.2,..,43.573,70.821,3.8813,..,8.80000973,98,11.5933,..,29,2.5
60,Australia,2011,94,3.79,92,2.736434232,6.6,..,46.069,78.281,3.2878,0.1,6.25755644,92,10.8124,..,92,3.8
61,Denmark,2011,87,3.13,91,2.083078307,5.6,..,59.047,97.155,3.7808,0.1,8.48921585,91,10.1437,..,..,3.4
62,Belgium,2011,95,6.05,98,3.134391355,4.8,..,59.442,100.338,2.9219,..,7.9088397,98,10.3901,..,97,3.6
63,Canada,2012,89,2.79,91,2.886789648,..,22.6,52.471,82.45,2.3962,..,7.4011817,91,9.3473,..,70,4.9
64,United States,2012,91,2.93,94,2.972029934,..,27.2,77.717,131.355,..,0.5,7.90049934,93,..,..,90,6
65,United Kingdom,2012,92,2.81,95,3.501321465,..,23.7,54.362,83.932,5.3284,..,8.05242443,95,9.8189,..,..,4.1
66,France,2012,91,6.34,99,4.347037634,..,34.5,51.592,109.097,6.349,..,7.94105148,99,9.688,..,78,3.1
67,Germany,2012,97,8.34,95,2.299800674,..,29.7,51.099,95.548,3.9197,0.1,8.18807316,94,13.9183,..,87,3.4
68,Sweden,2012,98,2.66,98,2.89500548,..,35.1,43.703,68.068,3.9579,..,9.0407753,98,11.6336,..,30,2.4
69,Australia,2012,94,3.75,92,2.672917159,..,19.3,44.403,75.68,3.2858,0.1,6.18006754,92,10.1433,..,91,3.6
70,Denmark,2012,90,..,94,2.056659072,..,23.4,57.616,92.572,3.8243,0.1,8.600667,94,10.2296,..,..,3.5
71,Belgium,2012,96,5.99,99,3.123925602,..,26.5,57.003,98.967,2.9393,..,8.04331493,99,10.626,..,98,3.5
72,Canada,2013,90,2.72,91,2.87091403,..,..,51.026,81.269,2.4509,..,7.3582077,91,9.4788,..,55,4.8
73,United States,2013,92,2.89,94,2.979816812,..,..,78.093,131.269,..,0.5,7.94619036,93,..,..,91,6
74,United Kingdom,2013,93,2.76,95,3.334625258,..,..,53.891,85.193,5.3546,..,7.97009706,95,9.7978,..,..,4
75,France,2013,90,6.28,99,4.17958823,..,..,50.507,105.322,6.3897,..,8.04127502,99,9.9817,..,82,3.1
76,Germany,2013,97,8.28,93,2.325072966,..,..,51.743,94.684,4.0087,0.1,8.40567684,93,14.3395,..,87,3.3
77,Sweden,2013,97,2.59,98,2.897419805,..,..,43.703,67.302,4.0359,..,9.1623106,98,11.6651,..,35,2.4
78,Australia,2013,94,3.74,91,2.566566618,..,..,44.986,75.444,3.353,0.1,5.93705511,91,11.9398,..,91,3.5
79,Denmark,2013,89,3.07,94,2.052675694,..,..,54.62,90.145,3.8335,0.1,8.56900883,94,10.2323,..,..,3.5
80,Belgium,2013,96,5.93,99,3.076383465,..,..,57.458,94.257,2.9585,..,8.03870392,99,10.9082,..,98,3.4
81,Canada,2014,90,2.67,91,2.882468529,..,20.7,51.45,81.528,2.4961,..,7.23180246,91,9.7475,..,55,4.7
82,United States,2014,92,2.83,95,3.001325827,..,26.4,79.382,131.889,..,0.5,8.23888111,93,..,..,92,5.9
83,United Kingdom,2014,93,2.73,95,3.166757362,..,22,53.642,83.909,5.4258,..,7.96156025,95,9.776,..,..,3.9
84,France,2014,91,6.2,98,4.191454987,..,34.6,49.309,100.472,6.423,..,8.13847065,98,10.2792,..,83,3.1
85,Germany,2014,97,8.23,93,2.367539098,..,29.1,49.597,91.119,4.0846,0.1,8.48952866,93,12.7562,..,87,3.3
86,Sweden,2014,97,2.54,97,2.896625661,..,32.9,42.586,66.376,4.1105,..,9.19936943,97,11.6824,..,42,2.4
87,Australia,2014,94,3.79,92,2.444711047,..,18.2,44.801,76.85,3.4314,0.1,6.10049677,92,12.1107,..,91,3.4
88,Denmark,2014,90,2.69,94,2.051560796,..,21.6,51.817,86.724,3.8632,0.1,8.56367874,94,10.2216,..,..,3.5
89,Belgium,2014,96,5.85,99,3.067329405,..,25.9,53.212,91.363,2.9723,..,8.08606339,99,11.1914,..,98,3.3
90,Canada,2015,89,2.62,91,2.837948449,..,..,50.806,81.304,2.5388,..,7.58065939,91,9.8188,8.88,69,4.7
91,United States,2015,92,2.8,95,3.019307588,..,..,80.43,134.324,..,0.5,8.45250511,93,..,9.82,92,5.8
92,United Kingdom,2015,93,2.61,95,3.008205963,..,..,54.081,84.586,5.4864,..,7.92137241,95,9.7357,11.21,..,3.8
93,France,2015,91,6.13,97,4.285499773,..,..,49.377,101.59,6.4477,..,8.2843132,97,10.5952,12.64,88,3.2
94,Germany,2015,97,8.13,93,2.523907769,..,..,50.173,92.451,4.1342,0.1,8.60765076,93,12.9115,13.06,87,3.3
95,Sweden,2015,98,2.44,98,2.8147316,..,..,39.95,66.933,4.1884,..,9.07129955,98,11.7297,9.13,53,2.3
96,Australia,2015,95,3.82,93,2.340682893,..,..,45.201,78.264,3.4886,0.1,6.38369751,93,12.2016,10.83,93,3.3
97,Denmark,2015,91,2.53,93,2.056709248,..,..,51.397,82.945,3.9257,0.1,8.60955524,93,10.2414,10.36,..,3.5
98,Belgium,2015,96,5.83,99,3.001328867,..,..,53.933,89.305,3.0138,..,7.91765547,99,11.808,11.82,98,3.3
99,Canada,2016,89,2.6,91,2.810181019,..,19.1,51.654,82.882,2.3105,..,7.67784119,91,9.9194,..,70,4.6
100,United States,2016,92,2.77,95,3.033590135,..,25.7,82.117,138.526,..,0.4,8.55732727,94,..,..,93,5.7
101,United Kingdom,2016,92,2.57,94,2.999168685,..,20.6,55.137,85.682,5.5095,..,7.92683458,94,8.2751,..,..,3.8
102,France,2016,90,6.06,96,4.263773035,..,34.6,48.319,97.921,6.4752,..,8.61875916,96,10.8898,..,90,3.2
103,Germany,2016,97,8.06,93,2.658184363,..,28.6,49.545,89.99,4.1944,0.1,8.68237877,93,12.8599,..,87,3.3
104,Sweden,2016,97,2.34,98,2.720248394,..,30.8,39.668,63.956,4.2693,..,9.14448833,98,11.7622,..,67,2.3
105,Australia,2016,95,3.84,94,2.266575887,..,17.1,44.673,75.835,3.5672,0.1,6.33803082,94,12.4053,..,94,3.2
106,Denmark,2016,94,2.6,94,2.062228606,..,20,51.652,82.426,4.0099,0.1,8.53385067,94,10.3195,..,..,3.5
107,Belgium,2016,96,5.76,98,2.95164668,..,25.5,51.237,86.08,3.0679,..,8.32023335,98,..,..,97,3.3
108,Canada,2017,90,2.53,91,2.811976188,..,..,50.932,84.184,2.6102,..,7.56277943,91,9.9491,..,71,4.6
109,United States,2017,92,2.87,95,3.032661543,..,..,81.996,139.245,..,0.4,8.51218987,94,14.5812,..,93,5.7
110,United Kingdom,2017,92,2.54,94,3.032529665,..,..,53.08,84.624,5.5691,..,7.8130374,94,8.2245,..,..,3.8
111,France,2017,90,5.98,96,4.267122773,..,..,48.287,95.442,6.5131,..,8.59649086,96,11.162,..,90,3.3
112,Germany,2017,97,8,93,2.724224495,..,..,48.026,86.511,4.2488,0.1,8.80528641,93,13.1142,..,87,3.3
113,Sweden,2017,97,2.21,97,2.643989083,..,..,39.084,63.288,4.331,..,9.13570595,97,12.5813,..,76,2.3
114,Australia,2017,95,..,95,2.240449125,..,..,43.338,74.463,3.6778,0.1,6.36546087,95,14.5413,..,95,3.2
115,Denmark,2017,97,2.61,98,2.057525052,..,..,47.453,78.186,4.1324,0.1,8.43570423,98,10.4389,..,..,3.4
116,Belgium,2017,96,5.66,98,2.919780099,..,..,49.29,82.796,3.0709,..,8.33751106,98,..,..,97,3.3
117,Canada,2018,90,2.55,91,2.795347587,..,17.5,50.202,83.818,2.4251,..,7.58277988,91,9.9874,8.94,71,4.5
118,United States,2018,92,..,94,3.020889353,..,25.1,80.603,137.542,2.6036,0.4,8.47234249,93,15.685,9.87,91,5.6
119,United Kingdom,2018,92,2.5,94,3.047420806,..,19.2,54.575,87.147,5.6162,..,7.86187077,94,8.1723,11.45,..,3.7
120,France,2018,90,5.91,96,4.307162936,..,34.6,48.347,94.454,6.5344,..,8.49391079,96,11.4707,12.33,91,3.4
121,Germany,2018,97,..,93,2.732278755,..,28,..,..,4.2996,0.1,8.88178158,93,13.4858,12.91,87,3.2
122,Sweden,2018,97,2.14,97,2.546440956,..,28.8,38.431,62.062,..,..,9.27633858,97,..,8.93,92,2.2
123,Australia,2018,95,..,95,2.234485351,..,16.2,42.796,73.167,3.7595,0.1,6.29709959,95,12.8134,10.51,95,3.2
124,Denmark,2018,95,2.43,97,2.040724591,..,18.6,48.343,77.895,4.2247,0.1,8.44737244,97,10.5515,10.26,..,3.3
125,Belgium,2018,96,5.62,98,2.880879097,..,25,49.245,80.262,3.1146,..,8.26992512,98,..,11.08,97,3.4
126,Canada,2019,90,2.52,91,2.766615649,..,..,..,..,2.4425,..,7.60929585,91,11.812,..,74,4.4
127,United States,2019,90,..,94,3.002832799,..,..,..,..,..,0.4,8.52492332,93,..,..,91,5.5
128,United Kingdom,2019,91,2.46,93,3.042980259,..,..,..,..,5.8233,..,8.06920433,93,10.2922,..,93,3.7
129,France,2019,90,..,96,4.345981126,..,..,..,..,..,..,8.32757092,96,..,..,91,3.4
130,Germany,2019,97,..,93,2.710545503,..,..,..,..,..,0.1,9.09177876,93,..,..,87,3.2
131,Sweden,2019,97,..,98,2.449188813,..,..,37.733,58.136,..,..,9.22483444,98,..,..,97,2.2
132,Australia,2019,95,..,95,2.215414078,..,..,..,..,..,0.1,7.10425138,95,13.2416,..,95,3.2
133,Denmark,2019,96,2.6,97,2.012073398,..,..,43.817,73.629,..,0.1,8.29217625,97,..,..,..,3.2
134,Belgium,2019,96,5.58,98,2.839868578,..,..,..,..,5.9556,..,8.18138885,98,..,..,97,3.4
135,Canada,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4
136,United States,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.4
137,United Kingdom,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6
138,France,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4
139,Germany,2020,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,3.1
140,Sweden,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1
141,Australia,2020,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,3.1
142,Denmark,2020,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,3.1
143,Belgium,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4
